formal,informal,enfp,joongding,gentle
마돈나 콘서트에서는 신인 양성 겸 홍보를 위해 언제나 신인이 콘서트를 시작하는 전통이 있습니다. 김철수도 오늘 처음 데뷔했을 것입니다.,마돈나 콘서트에서는 신인 양성 겸 홍보를 위해 언제나 신인이 콘서트를 시작하는 전통이 있어. 김철수도 오늘 처음 데뷔했을거야.,마도난 콘서트에선 신인 양성 겸 홍보를 위해 언제나 신인이 콘서트를 시작하는 전통이 있엉!! 김철수도 아마 오늘 처음 데뷔했을걸?!,마돈나 콘서트에는 신인 양성때문에 항상 신인들이 콘서트 시작함. 김철수도 오늘 데뷔일걸,마돈나 콘서트에서는 신인 양성 겸 홍보를 위해 언제나 신인이 콘서트를 시작하는 전통이 있습니다. 김철수도 오늘 처음 데뷔했을 겁니다.
긴장이 많이 됐을텐데 노래를 잘 불렀네요.,긴장이 많이 됐을텐데 노래를 잘 불렀네.,긴장이 많이 됐을텐데~ 노래를 잘 불럿넹!!,긴장한거치고 노래 잘하던데,긴장이 많이 되었을텐데 노래를 잘 부르셨네요.
"네. 마돈나 콘서트에 자주 오다 보면 가끔 너무 긴장하는 신인들이 올라올 때도 있는데, 관중들은 야유하지 않고 대신 응원을 해주려고 합니다.","마돈나 콘서트에 자주 오다 보면 가끔 너무 긴장하는 신인들이 올라올 때도 있는데, 관중들은 야유하지 않고 대신 응원을 해주려고 해.","웅웅! 마돈나 콘서트에 자주 오다보면 가끔 넘 긴장한 신인들이 올라올 때두 있는뎅,, 관중들은 야유 대신 응원 해주려고 행!",마돈나 콘서트에 가끔 보면 긴장하는 신인들 있는데 관중들이 별로 야유도 안하고 응원해줌,네. 마돈나 콘서트에 자주 오다보면 가끔 너무 긴장하는 신인들이 올라올 때도 있습니다. 관중들은 야유하지 않고 대신 응원을 해주려고 하죠.
마음씨가 따뜻한 관중이네요.,마음씨가 따뜻한 관중이네.,대박~ 마음씨가 다들 따뜻한 관중이다ㅜㅜ,착한 관중이네 ㅋ,마음씨가 따뜻한 관중이네요.
"네. 모두 음악을 즐기러 온 곳인데, 위에 서 계시는 가수분께서도 힘내서 노래를 불러주시면 우리 모두 즐길 수 있잖아요.","모두 음악을 즐기러 온 곳인데, 위에 서 계시는 가수분께서도 힘내서 노래를 불러주시면 우리 모두 즐길 수 있잖아.","웅웅 모두 음악을 즐기러 온건데, 위에 서 있는 가수가 힘내서 노래 불러주면 우리 모~두 즐길 수 있잖앙 ㅎㅎ",다 음악 즐기러 왔는데 가수가 힘내서 노래해주면 같이 즐길 수 있는데 당연하지 ㅡㅡ,네. 모두 음악을 즐기러 온 곳이지 않습니까. 위에 서 계신 가수분께서도 힘내서 노래를 불러주시면 우리 모두 즐길 수 있죠.
종소리가 들리는 것을 보니 이제 곧 2부가 시작할 것 같아요.,종소리가 들리는 것을 보니 이제 곧 2부가 시작할 것 같다.,종소리가 들리는 걸로 봐서 이제 곧 2부가 시작하려나봐!!,종소리 들리는 거 보니까 2부 시작할 듯,종소리가 들리는 것을 보니 이제 곧 2부가 시작될 것 같네요.
2부에서 마돈나가 신곡을 발표할 것이라는 루머를 들었습니다.,2부에서 마돈나가 신곡을 발표할 것이라는 루머를 들었어.,2부에선 마돈나가 신곡 발표할 거라는 루머가 있던뎅!!,2부에서 마돈나가 신곡 발표할거라고 루머도 들음,2부에서 마돈나가 신곡을 발표할 것이라는 루머를 들었습니다.
"신곡이라니, 정말 기대되는데요.","신곡이라니, 정말 기대되는데.",신곡이라니ㅜㅜㅜㅜ 진짜 완~전 기대된당!!!,ㅋ 기대되네 신곡,"신곡이라니, 정말 기대되네요."
제일 좋아하는 음식이 뭔가요?,제일 좋아하는 음식이 뭐야?,젤 좋아하는 음식이 모야~?,좋아하는 음식은 뭐냐,제일 좋아하는 음식이 무엇입니까?
저는 치킨을 좋아합니다.,난 치킨을 좋아해.,난 치킨 젤 좋아행!!,치킨 좋아하는데 왜,저는 치킨을 좋아합니다.
"저도 치킨 좋아하는데, 양념 치킨을 자주 먹습니다.","나도 치킨 좋아하는데, 양념 치킨을 자주 먹어.",나도 치킨 좋아하는뎅 ㅎㅎ 양념 치킨 완~전 자주 머거!,너만 좋아하냐? 나도 양념치킨 자주 먹음 ㅡㅡ,저도 치킨을 좋아합니다. 양념 치킨을 자주 먹지요.
저는 후라이드 치킨에 양념 소스를 찍어먹는걸 더 좋아해요.,나는 후라이드 치킨에 양념 소스를 찍어먹는걸 더 좋아해.,난 후라이드 치킨에 양념 소스 찍어먹는 걸 더 좋아행 ㅎㅎ,후라이드 치킨에 양념소스 찍어먹는게 훨씬 나은데 뭔솔?,저는 후라이드 치킨에 양념 소스 찍어먹는 걸 더 좋아합니다.
그러면 양념치킨하고 같은 것이 아닌가요?,그러면 양념치킨하고 같은 것이 아니야?,"그럼 양념치킨하구,, 똑같은 거 아냐????",그게 양념치킨이지 그럼 ㅡㅡ,그러면 양념치킨하고 같은 것 아닙니까?
"아니요, 후라이드 치킨에 양념을 찍어먹으면 바삭한 튀김과 소스의 풍미를 동시에 느낄 수 있어서 일반적인 양념치킨과는 사뭇 다른 맛을 느낄 수 있습니다.","아니, 후라이드 치킨에 양념을 찍어먹으면 바삭한 튀김과 소스의 풍미를 동시에 느낄 수 있어서 일반적인 양념치킨과는 사뭇 다른 맛을 느낄 수 있어.",아냐! 후라이드 치킨에 양념을 찍어먹으면 빠삭~한 튀김과 소스의 풍~미를 동시에! 느낄 수 있어서 일반적인 양념치킨과는 사뭇 다른 맛을 느낄 수 있다구!!,뭔소리야 후라이드치킨에 양념 찍어먹으면 튀김도 바삭하고 소스도 풍미가 좋아서 일반적인 치킨이랑 비교불가인데 ㅡㅡ,아니요. 후라이드 치킨에 양념을 찍어먹으면 바삭한 튀김과 소스의 풍미를 동시에 느낄 수 있습니다. 일반적인 양념과는 사뭇 다른 맛을 내죠.
"신기하군요, 저도 한번 그렇게 먹어봐야겠어요.","신기하네, 나도 한번 그렇게 먹어봐야겠어.",신기하당! 나도 한번 그렇게 먹어봐야겠어 ㅎㅎ,ㅇㅎ 나도 한번 그렇게 먹어봄,신기하군요. 저도 그렇게 한번 먹어봐야겠네요.
양념치킨과 후라이드 치킨을 반반씩 시켜서 후라이드 치킨을 양념에 찍어 드셔보면 둘의 차이를 느끼실 수 있을거에요.,양념치킨과 후라이드 치킨을 반반씩 시켜서 후라이드 치킨을 양념에 찍어 드셔보면 둘의 차이를 느끼실 수 있을거야.,양념치킨이랑 후라이드 치킨을 반반씩 시켜서 후라이드 치킨을 양념에 찍어 먹어봥!! 둘의 차이를 딱!! 느낄 수 있을거양 ㅎㅎ,양념이랑 후라이드 반반 시켜서 후라이드치킨 양념에 찍으면 뭔소리하는지 알거다,양념치킨과 후라이드 치킨을 반반씩 시켜서 후라이드 치킨을 양념에 찍어 드셔보면 둘의 차이를 느끼실 수 있을겁니다.
조언 감사합니다. 치킨 이야기를 하니 배고파지네요.,조언 고마워. 치킨 이야기를 하니 배고파지네.,조언 고마웡!! 치킨 이야기 하니까 배고프당 ㅜ,ㅇㅎ 치킨얘기하니까 배고프잖아 ㅡㅡ,조언 감사합니다. 치킨 이야기를 하니 배가 고파지는군요.
"저도 배고픈데, 치킨을 시켜 먹을까요?","나도 배고픈데, 치킨을 시켜 먹을까?",나도 배고파ㅜㅜ 치킨 시켜 먹으까?!,나도 배고픈데 치킨이나 시킬까,"저도 배가 고픈데, 치킨 시켜 먹을까요?"
좋은 아이디어 같아요. 양념 한마리하고 후라이드 한마리 시키죠.,좋은 아이디어 같아. 양념 한마리하고 후라이드 한마리 시키자.,댓츠 굿 아이디어~ 양념 한마리 하구 후라이드 한마리 시키장 ㅎㅎ,ㅇㅇ 양념 한마리 후라이드 한마리 시킨다,좋은 아이디어 같습니다. 양념 한마리와 후라이드 한마리 시키죠.
콜라는 큰 걸로 주문할게요.,콜라는 큰 걸로 주문할게.,콜라는 큰 걸로~ 주문할게!!,콜라는 큰걸로 함,콜라는 큰 걸로 주문하겠습니다.
무도 많이 주라고 하세요!,무도 많이 주라고 해!,무 많이!!!,무 많이 달라그래 ㅡㅡ,무도 많이 달라고 해주세요.
네.,응.,웅웅!,ㅇ,네.
"만화책을 읽다가 문득 생각난건데, 슈퍼맨의 복장이 너무 요란하다고 생각한 적 없어요?","만화책을 읽다가 문득 생각난건데, 슈퍼맨의 복장이 너무 요란하다고 생각한 적 없어?","만화책 읽다가 문득 생각난 건뎅,, 슈퍼맨의 복장이 넘 요란하다고 생각한 적 없어?!",만화책 읽다보니까 생각나는데 슈퍼맨 복장 너무 요란한듯 ㅡㅡ,"만화책을 읽다가 문득 생각난건데, 슈퍼맨의 복장이 너무 요란하다고 생각된 적 없습니까?"
"딱히 그렇게 생각해본 적은 없는데, 왜 그렇게 생각하세요?","딱히 그렇게 생각해본 적은 없는데, 왜 그렇게 생각해?","딱히..? 그렇게 생각해본 적은 없는데,, 왜 그렇게 생각행??",뭔소리야 또 왜,딱히 그렇게 생각해 본 적은 없습니다. 왜 그렇게 생각하싶니까?
"만약 슈퍼맨이 빨강, 파랑색 쫄쫄이를 입지 않고, 군청색 복장을 입고 있었다면 악당들하고 싸울 때 더 유리할거 같아서요.","만약 슈퍼맨이 빨강, 파랑색 쫄쫄이를 입지 않고, 군청색 복장을 입고 있었다면 악당들하고 싸울 때 더 유리할거 아니야.","만약 슈퍼맨이 빨강, 파랑 쫄쫄이 입지 않구 군청색 복장 입고 있었다면? 악당들하구 싸울 때 더 유리하지 않아?!",슈퍼맨이 빨강 파랑 쫄쫄이 안입고 군청색 입었으면 악당들이랑 싸울 때 더 유리할듯,"만약 슈퍼맨이 빨강, 파랑색 쫄쫄이를 입지 않고, 군청색 복장을 입는다면 악당들하고 싸울 때 더 유리하지 않겠습니까."
하지만 슈퍼맨은 언제나 이기잖아요. 옷 색깔을 바꾼다고 해도 결과적으로 달라지는 것은 없지 않을까요.,하지만 슈퍼맨은 언제나 이기잖아. 옷 색깔을 바꾼다고 해도 결과적으로 달라지는 것은 없지 않을까.,하지만 슈퍼맨은 언제나 이기자나~ 옷 색깔 바꾼대도 결과적으로 달라지는 건 없지 않으까~?,근데 슈퍼맨이 맨날 이기는데 옷색깔을 뭐하러 바꿔 ㅡㅡ 결과적으로 달라지는게 뭔데,하지만 슈퍼맨은 언제나 이기지 않습니까. 옷 색깔을 바꾼다고 해도 결과적으로 달라지는 것은 없지 않을까요.
"슈퍼맨은 언제나 도시를 구하지만, 구하는 과정이 아슬할 때도 많다고 생각하지 않아요? 미처 대피를 하지 못해 건물 잔해에 깔릴 뻔한 할머니 혹은, 악당의 무기가 도탄된 것을 피하지 못해 위험에 빠지는 주인공의 친구같은 상황들이 자주 생기잖아요.","슈퍼맨은 언제나 도시를 구하지만, 구하는 과정이 아슬할 때도 많다고 생각하지 않아? 미처 대피를 하지 못해 건물 잔해에 깔릴 뻔한 할머니 혹은, 악당의 무기가 도탄된 것을 피하지 못해 위험에 빠지는 주인공의 친구같은 상황들이 자주 생기잖아.","슈퍼맨은 언제나 도시를 구하지만!! 구하는 과정이 아슬할 때도 많다고 생각하지 않앙?! 미처 대피를 못해서 건물 잔해에 깔릴 뻔한 할머니,,, 혹은 악당의 무기가 도탄된 것을 피하지 못해 위험에 빠지는 주인공의 친구,, 같은 상황들!!",슈퍼맨이 결국 도시 구하는건 맞는데 과정이 아슬아슬할때도 많잖아 ㅡㅡ 미처 대피 못해서 건물 잔해에 깔릴 뻔한 할머니나 악당 무기가 도탄된거 못피해서 위험해지는 주인공 친구들 같은 상황이 자주 생기는데,슈퍼맨은 언제나 도시를 구합니다. 하지만 구하는 과정이 아슬할 때도 많다고 생각되지 않습니까? 미처 대피를 하지 못해 건물 잔해에 깔릴 뻔한 할머니 혹은 악당의 무기가 도탄된 것을 피하지 못하여 위험에 빠지는 주인공의 친구 같은 상황들이 자주 생기지 않습니까
"슈퍼맨이 더 좋은 장비를 쓰면서 악당들에게 더 효과적으로 대처한다고 가정해도, 군청색 쫄쫄이를 입고 나오면 안 좋을 것 같아요.","슈퍼맨이 더 좋은 장비를 쓰면서 악당들에게 더 효과적으로 대처한다고 가정해도, 군청색 쫄쫄이를 입고 나오면 안좋을 것 같아.","슈퍼맨이 더 좋은 장비를 쓰면서 악당들에게 효과적으로 대처한다고 가정을 해도! 군청색 쫄쫄이를 입고 나오는 건,, 안좋을 거 같아",슈퍼맨이 더 좋은 장비 쓰면서 악당들 더 효과적으로 대처한다 쳐도 군청색 쫄쫄이는 아님 ㅡㅡ,"슈퍼맨이 더 좋은 장비를 쓰면서 악당들에게 더 효과적으로 대처한다고 가정해도, 군청색 쫄쫄이를 입고 나오면,, 안 좋을 것 같습니다."
어째서 슈퍼맨이 군청색 쫄쫄이를 입으면 더 안 좋아져요?,어째서 슈퍼맨이 군청색 쫄쫄이를 입으면 더 안좋아져?,왜? 왜 슈퍼맨이 군청색 쫄쫄이 입으면 더 안 좋아져?? 왜??,근데 왜 슈퍼맨이 군청색 쫄쫄이 입으면 더 안좋아지는데,어째서 슈퍼맨이 군청색 쫄쫄이를 입으면 더 안 좋아집니까?
"슈퍼맨은 일종의 도시의 수호자이기 때문에, 눈의 띄는 빨강과 파랑 원색 계얼 복장을 입으면서 시민들에게 자기로 하여금 안심을 할 수 있게 하는 역할이 있다고 생각해요.","슈퍼맨은 일종의 도시의 수호자이기 때문에, 눈의 띄는 빨강과 파랑 원색 계얼 복장을 입으면서 시민들에게 자기로 하여금 안심을 할 수 있게 하는 역할이 있다고 생각해.",슈퍼맨은 일종의 도시 수호자잖앙!! 눈에 띄는 빨강과 파랑 원색 계열 복장을 입으면서! 시민들에게 자기로 하여금 편안~하게 안심을 할 수 있도록 하는 역할이 있다고 생각해!,슈퍼맨이 도시의 수호자니까 눈에 띄는 빨강 파랑 원색 계열 복장 입어야 시민들에게 안심을 주지 ㅡㅡ,슈퍼맨은 일종의 도시 수호자입니다. 그렇기 때문에 눈에 띄는 빨강과 파랑 원색 계열의 복장을 입으며 시민들에게 자기로 하여금 안심 할 수 있게 하는 역할이 있다고 생각합니다.
군청색을 입으면 악당들의 눈에 안 띄는 만큼 시민들의 눈에 안 띌 가능성도 높겠네요.,군청색을 입으면 악당들의 눈에 안 띄는 만큼 시민들의 눈에 안 띌 가능성도 높겠네.,"군청색 입으면,, 악당들의 눈에 안 띄는 만큼,,, 시민들의 눈에 안 띌 가능성도 높겠넹!!",군청색 입으면 악당들 눈에도 안띄니까 시민들 눈에도 안띌거 아님 그럼 ㅡㅡ,군청색을 입으면 악당들의 눈에 안 띄는 만큼 시민들의 눈에도 안 띌 가능성이 높겠네요.
"뿐만 아니라 자주 보기 힘든 색 배합을 사용함으로써 자기의 존재를 일반적인 사람과를 분리시키고, 슈퍼맨은 자기의 존재로 하여금 시민들이 기적을 바랄 수 있는 희망의 등불 역할 또한 하는 겁니다.","뿐만 아니라 자주 보기 힘든 색 배합을 사용함으로써 자기의 존재를 일반적인 사람과를 분리시키고, 슈퍼맨은 자기의 존재로 하여금 시민들이 기적을 바랄 수 있는 희망의 등불 역할 또한 하는 거야.",뿐만 아니라! 자주 보기 힘든 색 배합을 사용함으로써 자기의 존재를 일반적인 사람과 분리시킨 거징!! 슈퍼맨은 자기 존재로 하여금 시민들이 기적을 바랄 수 있는 희망의 등불 역할 또한~ 하는 거지~ ㅎㅎ,그리고 보기 힘든 색 배합 써서 자기 존재를 일반적인 사람과 분리시키고 슈퍼맨은 자기 존재로 인해 시민들이 기적을 바랄 수 있는 희망의 등불 역할도 하는거임,뿐만 아니라 자주 보기 힘든 색 배합을 사용함으로써 자신의 존재를 일반적인 사람과 분리시키는거죠. 슈퍼맨은 자기의 존재로 하여금 시민들이 기적을 바랄 수 있는 희망의 등불 역할 또한 수행하는겁니다.
